Hour,DC,Bids,Impressions,Spent
2020-01-03 12:00:00,EU,5712323,1141657,542224
2020-01-03 12:00:00,US,3904971,540767,480092
2020-01-03 13:00:00,EU,5568224,1108076,519570
2020-01-03 13:00:00,US,4105637,581557,548452
2020-01-03 14:00:00,EU,5257334,996388,484382
2020-01-03 14:00:00,US,3947166,601981,651119
2020-01-03 15:00:00,EU,4841369,926036,448467
2020-01-03 15:00:00,US,3734373,595319,686265
2020-01-03 16:00:00,EU,4655328,854300,438309
2020-01-03 16:00:00,US,4017972,654679,704977
2020-01-03 17:00:00,EU,4569349,873589,465274
2020-01-03 17:00:00,US,3697462,665088,748048
2020-01-03 18:00:00,EU,4008168,825070,422941
2020-01-03 18:00:00,US,3701225,666575,735313
2020-01-03 19:00:00,EU,3788083,816149,436613
2020-01-03 19:00:00,US,3773624,678098,814161
2020-01-03 20:00:00,EU,3662339,833524,448359
2020-01-03 20:00:00,US,3809305,698186,857562
2020-01-03 21:00:00,EU,3706977,868450,415860
2020-01-03 21:00:00,US,3709956,697181,841722
2020-01-03 22:00:00,EU,3199332,837709,379314
2020-01-03 22:00:00,US,3318066,683453,801093
2020-01-03 23:00:00,EU,2827098,711271,299776
2020-01-03 23:00:00,US,3325682,670498,817106
2020-01-04 0:00:00,EU,3265415,880238,398453
2020-01-04 0:00:00,US,3631145,815830,1040398
2020-01-04 1:00:00,EU,3487716,912027,381737
2020-01-04 1:00:00,US,3752319,841960,1034994
2020-01-04 2:00:00,EU,3649840,953048,350566
2020-01-04 2:00:00,US,3742282,819252,937089
2020-01-04 3:00:00,EU,3621204,926524,338461
2020-01-04 3:00:00,US,3527718,784960,955243
2020-01-04 4:00:00,EU,3581335,862972,327640
2020-01-04 4:00:00,US,3230964,734732,856616
2020-01-04 5:00:00,EU,4071499,963740,371182
2020-01-04 5:00:00,US,3383177,761564,868506
2020-01-04 6:00:00,EU,4587819,1096343,427063
2020-01-04 6:00:00,US,3255682,662242,694508
2020-01-04 7:00:00,EU,4934785,1155579,480307
2020-01-04 7:00:00,US,3032362,541987,521259
2020-01-04 8:00:00,EU,5458875,1304444,546311
2020-01-04 8:00:00,US,2999582,489372,450332
2020-01-04 9:00:00,EU,5514799,1279288,584229
2020-01-04 9:00:00,US,2940912,453297,381728
2020-01-04 10:00:00,EU,5801378,1255628,579963
2020-01-04 10:00:00,US,3204015,466707,348956
2020-01-04 11:00:00,EU,5801116,1185409,585078
2020-01-04 11:00:00,US,3350984,510441,366847
2020-01-04 12:00:00,EU,5679012,1070659,540374
2020-01-04 12:00:00,US,3447751,553154,454480
2020-01-04 13:00:00,EU,5343721,1007001,453497
2020-01-04 13:00:00,US,3732444,611071,490873
2020-01-04 14:00:00,EU,5200970,952762,436109
2020-01-04 14:00:00,US,3732705,654461,596232
2020-01-04 15:00:00,EU,4985696,891102,396519
2020-01-04 15:00:00,US,3619378,669462,632273
2020-01-04 16:00:00,EU,4306051,798315,371410
2020-01-04 16:00:00,US,3668288,691831,682135
2020-01-04 17:00:00,EU,4274791,796007,364486
2020-01-04 17:00:00,US,3714043,693539,677800
2020-01-04 18:00:00,EU,4057957,777830,366272
2020-01-04 18:00:00,US,3555451,683946,678091
2020-01-04 19:00:00,EU,2910042,502369,293362
2020-01-04 19:00:00,US,3625251,671778,687897
2020-01-04 20:00:00,EU,3590112,770551,358459
2020-01-04 20:00:00,US,3464713,685007,801796
2020-01-04 21:00:00,EU,3614810,828615,380738
2020-01-04 21:00:00,US,3391021,690963,892276
2020-01-04 22:00:00,EU,3333020,859397,366966
2020-01-04 22:00:00,US,3496787,715452,886491
2020-01-04 23:00:00,EU,2941188,728063,314276
2020-01-04 23:00:00,US,3152477,649931,831522
2020-01-05 0:00:00,EU,3283981,850158,388645
2020-01-05 0:00:00,US,3572324,793592,1073516
2020-01-05 1:00:00,EU,3553575,860504,389665
2020-01-05 1:00:00,US,3594042,846229,1099798
2020-01-05 2:00:00,EU,3641664,856718,345206
2020-01-05 2:00:00,US,3671985,857550,1069691
2020-01-05 3:00:00,EU,3471124,826755,331902
2020-01-05 3:00:00,US,3328011,832783,1094947
2020-01-05 4:00:00,EU,3838957,872879,318094
2020-01-05 4:00:00,US,3323107,774102,934044
2020-01-05 5:00:00,EU,4289221,979758,361665
2020-01-05 5:00:00,US,3402530,795868,960728
2020-01-05 6:00:00,EU,4766481,1101209,417036
2020-01-05 6:00:00,US,3126383,634664,693195
2020-01-05 7:00:00,EU,5029223,1171961,448810
2020-01-05 7:00:00,US,2771439,506330,493006
2020-01-05 8:00:00,EU,5562697,1312731,532289
2020-01-05 8:00:00,US,2749582,450023,422972
2020-01-05 9:00:00,EU,5536896,1285879,561787
2020-01-05 9:00:00,US,2860048,430964,347700
2020-01-05 10:00:00,EU,5696556,1256737,583592
2020-01-05 10:00:00,US,3149260,446073,311736
2020-01-05 11:00:00,EU,5820790,1226181,570807
2020-01-05 11:00:00,US,3072219,438577,316058
2020-01-05 12:00:00,EU,5902458,1164737,560110
2020-01-05 12:00:00,US,3387305,519478,389220
2020-01-05 13:00:00,EU,5434924,1041534,507774
2020-01-05 13:00:00,US,3586445,556284,521158
2020-01-05 14:00:00,EU,4055106,708069,387390
2020-01-05 14:00:00,US,3784623,607391,634830
2020-01-05 15:00:00,EU,3518384,562408,324166
2020-01-05 15:00:00,US,3756176,632972,705419
2020-01-05 16:00:00,EU,3340510,545294,315240
2020-01-05 16:00:00,US,3754176,660552,721973
2020-01-05 17:00:00,EU,3031517,480038,292894
2020-01-05 17:00:00,US,3710038,663848,763061
2020-01-05 18:00:00,EU,3058287,521527,295397
2020-01-05 18:00:00,US,3653712,665590,780484
2020-01-05 19:00:00,EU,2748265,464690,318913
2020-01-05 19:00:00,US,3650492,667068,900876
2020-01-05 20:00:00,EU,3092945,608523,322944
2020-01-05 20:00:00,US,3570735,667456,923821
2020-01-05 21:00:00,EU,4023083,947510,416743
2020-01-05 21:00:00,US,3404014,694116,889988
2020-01-05 22:00:00,EU,3664854,948805,355703
2020-01-05 22:00:00,US,3303411,683773,829903
2020-01-05 23:00:00,EU,2984595,772036,318464
2020-01-05 23:00:00,US,3115082,653659,800333
2020-01-06 0:00:00,EU,3195625,853178,348347
2020-01-06 0:00:00,US,3437382,804067,1066695
2020-01-06 1:00:00,EU,3255909,850100,340351
2020-01-06 1:00:00,US,3531836,828472,1155066
2020-01-06 2:00:00,EU,3048013,759120,291121
2020-01-06 2:00:00,US,3390432,787344,970349
2020-01-06 3:00:00,EU,2997651,683206,253231
2020-01-06 3:00:00,US,3228075,787498,1047464
2020-01-06 4:00:00,EU,3173645,733087,267406
2020-01-06 4:00:00,US,3220844,773129,868694
2020-01-06 5:00:00,EU,3636284,842531,324317
2020-01-06 5:00:00,US,3155266,747753,815873
2020-01-06 6:00:00,EU,4221192,1006575,387400
2020-01-06 6:00:00,US,2945378,658696,665932
2020-01-06 7:00:00,EU,4703371,1073819,429777
2020-01-06 7:00:00,US,2784240,536261,502720
2020-01-06 8:00:00,EU,5207689,1192970,480517
2020-01-06 8:00:00,US,2881838,500429,397451
2020-01-06 9:00:00,EU,5427007,1223174,494551
2020-01-06 9:00:00,US,2910678,450069,334205
2020-01-06 10:00:00,EU,5586819,1263183,548630
2020-01-06 10:00:00,US,2906233,419422,333054
2020-01-06 11:00:00,EU,5575279,1227352,557285
2020-01-06 11:00:00,US,3122218,465204,421021
2020-01-06 12:00:00,EU,5733334,1190861,538360
2020-01-06 12:00:00,US,3513798,545163,460524
2020-01-06 13:00:00,EU,5536522,1099243,499465
2020-01-06 13:00:00,US,3789951,582202,535313
2020-01-06 14:00:00,EU,5578912,1056968,466074
2020-01-06 14:00:00,US,3854121,610637,570939
2020-01-06 15:00:00,EU,5369172,1010100,458195
2020-01-06 15:00:00,US,3735033,625385,583754
2020-01-06 16:00:00,EU,5448388,1051547,480672
2020-01-06 16:00:00,US,3752481,629442,634983
2020-01-06 17:00:00,EU,5188503,1000595,464091
2020-01-06 17:00:00,US,3748348,637501,671252
2020-01-06 18:00:00,EU,4612599,925595,435904
2020-01-06 18:00:00,US,3559053,649959,686481
2020-01-06 19:00:00,EU,4098517,857937,436912
2020-01-06 19:00:00,US,3382896,659684,794051
2020-01-06 20:00:00,EU,3737836,801302,401830
2020-01-06 20:00:00,US,3377551,682785,845453
2020-01-06 21:00:00,EU,3993860,877167,417536
2020-01-06 21:00:00,US,3308435,673114,844632
2020-01-06 22:00:00,EU,3440949,864035,369556
2020-01-06 22:00:00,US,3455466,726416,830140
2020-01-06 23:00:00,EU,2924768,706190,317771
2020-01-06 23:00:00,US,3219389,710911,820513
2020-01-07 0:00:00,EU,3148352,813312,353543
2020-01-07 0:00:00,US,3500571,855432,1088845
2020-01-07 1:00:00,EU,3103692,771473,322924
2020-01-07 1:00:00,US,3544798,866443,1089972
2020-01-07 2:00:00,EU,3084330,738703,309115
2020-01-07 2:00:00,US,3620476,917772,1045248
2020-01-07 3:00:00,EU,3193856,738429,292944
2020-01-07 3:00:00,US,3342001,850199,1041391
2020-01-07 4:00:00,EU,3334184,778735,286595
2020-01-07 4:00:00,US,3169667,756576,905410
2020-01-07 5:00:00,EU,3746679,878072,331648
2020-01-07 5:00:00,US,2978600,679613,783864
2020-01-07 6:00:00,EU,4332619,1026157,388657
2020-01-07 6:00:00,US,2846604,618533,619268
2020-01-07 7:00:00,EU,4709572,1095575,421156
2020-01-07 7:00:00,US,2859061,539120,469980
2020-01-07 8:00:00,EU,5123560,1225006,474173
2020-01-07 8:00:00,US,2933986,490291,372821
2020-01-07 9:00:00,EU,5272164,1258195,497056
2020-01-07 9:00:00,US,2924043,436513,348340
2020-01-07 10:00:00,EU,5427323,1270714,523243
2020-01-07 10:00:00,US,3256659,458753,333987
2020-01-07 11:00:00,EU,5618755,1259399,542827
2020-01-07 11:00:00,US,3112572,498501,414008
2020-01-07 12:00:00,EU,5707988,1190325,524506
2020-01-07 12:00:00,US,3394194,568253,496657
2020-01-07 13:00:00,EU,5695260,1121773,494829
2020-01-07 13:00:00,US,3600270,568509,539584
2020-01-07 14:00:00,EU,5496618,1056193,469518
2020-01-07 14:00:00,US,3744090,584782,586198
2020-01-07 15:00:00,EU,5322682,1008613,451051
2020-01-07 15:00:00,US,3719894,641350,605619
2020-01-07 16:00:00,EU,5022820,973032,440369
2020-01-07 16:00:00,US,3925029,642411,626335
2020-01-07 17:00:00,EU,4499304,926226,427567
2020-01-07 17:00:00,US,3705737,617242,690731
2020-01-07 18:00:00,EU,3541179,686130,319275
2020-01-07 18:00:00,US,3609751,580502,636732
2020-01-07 19:00:00,EU,4391524,1001703,473857
2020-01-07 19:00:00,US,3534643,686668,802274
2020-01-07 20:00:00,EU,3938586,827402,463753
2020-01-07 20:00:00,US,3409720,697868,866063
2020-01-07 21:00:00,EU,3748357,855357,404597
2020-01-07 21:00:00,US,3395474,723149,872664
2020-01-07 22:00:00,EU,3489357,946556,379491
2020-01-07 22:00:00,US,3480827,749051,857585
2020-01-07 23:00:00,EU,3097661,834952,344202
2020-01-07 23:00:00,US,3156691,731541,867755
2020-01-08 0:00:00,EU,3155106,846998,346789
2020-01-08 0:00:00,US,3397951,852409,1060688
2020-01-08 1:00:00,EU,3007264,789800,312092
2020-01-08 1:00:00,US,3106113,817827,1013423
2020-01-08 2:00:00,EU,3025570,746611,298698
2020-01-08 2:00:00,US,3396298,897793,1076762
2020-01-08 3:00:00,EU,3218680,766114,317586
2020-01-08 3:00:00,US,3392875,894014,1074515
2020-01-08 4:00:00,EU,3422977,806411,310166
2020-01-08 4:00:00,US,3098382,798662,902297
2020-01-08 5:00:00,EU,3786149,890005,351933
2020-01-08 5:00:00,US,2962049,703841,774252
2020-01-08 6:00:00,EU,4242582,1013681,400290
2020-01-08 6:00:00,US,2878551,621037,600540
2020-01-08 7:00:00,EU,4622604,1108865,443224
2020-01-08 7:00:00,US,2838586,514383,464680
2020-01-08 8:00:00,EU,4785664,1167553,468021
2020-01-08 8:00:00,US,2694595,437260,360917
2020-01-08 9:00:00,EU,5050492,1189211,496442
2020-01-08 9:00:00,US,2661448,447220,346650
2020-01-08 10:00:00,EU,5312132,1243793,515297
2020-01-08 10:00:00,US,2916603,492552,383307
2020-01-08 11:00:00,EU,5575936,1365450,579904
2020-01-08 11:00:00,US,3189873,552373,484331
2020-01-08 12:00:00,EU,5655374,1245269,543059
2020-01-08 12:00:00,US,3295769,583620,504073
2020-01-08 13:00:00,EU,5524763,1131323,511391
2020-01-08 13:00:00,US,3285868,573702,560114
2020-01-08 14:00:00,EU,5250186,1047436,474929
2020-01-08 14:00:00,US,3378123,564694,588537
2020-01-08 15:00:00,EU,5115163,1037716,467111
2020-01-08 15:00:00,US,3333416,596492,614398
2020-01-08 16:00:00,EU,5042333,1051323,471355
2020-01-08 16:00:00,US,3337872,630327,646253
2020-01-08 17:00:00,EU,4866535,1027003,454098
2020-01-08 17:00:00,US,3455224,631985,655606
2020-01-08 18:00:00,EU,4052030,875232,405188
2020-01-08 18:00:00,US,3416120,625135,692217
2020-01-08 19:00:00,EU,2367962,446290,295147
2020-01-08 19:00:00,US,2930738,538681,655034
2020-01-08 20:00:00,EU,3113803,851009,353063
2020-01-08 20:00:00,US,2871727,596272,719216
2020-01-08 21:00:00,EU,4367705,1218480,521560
2020-01-08 21:00:00,US,3253826,754641,899290
2020-01-08 22:00:00,EU,3699212,1104625,449603
2020-01-08 22:00:00,US,3128523,767520,866106
2020-01-08 23:00:00,EU,2762448,748124,348498
2020-01-08 23:00:00,US,2937538,732627,826182
2020-01-09 0:00:00,EU,2496844,665387,319566
2020-01-09 0:00:00,US,3211267,846982,1079451
2020-01-09 1:00:00,EU,2834471,744543,344993
2020-01-09 1:00:00,US,3177129,884234,1159901
2020-01-09 2:00:00,EU,2943708,741305,326309
2020-01-09 2:00:00,US,3219851,899616,1113409
2020-01-09 3:00:00,EU,3201693,788971,313332
2020-01-09 3:00:00,US,3107715,851701,1039610
2020-01-09 4:00:00,EU,3465877,834004,318651
2020-01-09 4:00:00,US,2956940,796985,910008
2020-01-09 5:00:00,EU,3859856,905635,350505
2020-01-09 5:00:00,US,3044741,725291,837880
2020-01-09 6:00:00,EU,4269922,1025040,418948
2020-01-09 6:00:00,US,2919201,661029,685007
2020-01-09 7:00:00,EU,4480626,1088225,422957
2020-01-09 7:00:00,US,2838234,503435,472447
2020-01-09 8:00:00,EU,4632344,1135712,473903
2020-01-09 8:00:00,US,2648075,436022,385614
2020-01-09 9:00:00,EU,4759122,1169822,495680
2020-01-09 9:00:00,US,2534949,418614,319218
2020-01-09 10:00:00,EU,4792876,1148460,516127
2020-01-09 10:00:00,US,2801699,436721,334903
2020-01-09 11:00:00,EU,4598850,1194411,551691
2020-01-09 11:00:00,US,3081121,484049,400334
2020-01-09 12:00:00,EU,4842109,1203211,555464
2020-01-09 12:00:00,US,3243510,550138,533448
2020-01-09 13:00:00,EU,4843012,1102312,526916
2020-01-09 13:00:00,US,3284261,580170,592866
2020-01-09 14:00:00,EU,4832886,1172300,546075
2020-01-09 14:00:00,US,3336714,617078,634753
2020-01-09 15:00:00,EU,4723708,1101664,535466
2020-01-09 15:00:00,US,3346966,625474,635418
2020-01-09 16:00:00,EU,4862883,1170624,549170
2020-01-09 16:00:00,US,3467873,617515,649939
2020-01-09 17:00:00,EU,4513605,1101143,534290
2020-01-09 17:00:00,US,3452081,628442,710684
2020-01-09 18:00:00,EU,3294870,803834,427520
2020-01-09 18:00:00,US,3293796,595336,708050
2020-01-09 19:00:00,EU,2850358,759406,421489
2020-01-09 19:00:00,US,3346211,632207,830250
2020-01-09 20:00:00,EU,2373400,728939,379142
2020-01-09 20:00:00,US,3287076,649481,929515
2020-01-09 21:00:00,EU,3024182,943949,415071
2020-01-09 21:00:00,US,3300174,686589,879014
2020-01-09 22:00:00,EU,3275063,1054711,415235
2020-01-09 22:00:00,US,3246451,724572,843958
2020-01-09 23:00:00,EU,2801033,829386,340816
2020-01-09 23:00:00,US,3009704,689176,839486
2020-01-10 0:00:00,EU,2901497,832551,365816
2020-01-10 0:00:00,US,3189513,786065,1059774
2020-01-10 1:00:00,EU,2856503,770268,331509
2020-01-10 1:00:00,US,3332940,827103,1157456
2020-01-10 2:00:00,EU,2919868,757058,320218
2020-01-10 2:00:00,US,3332063,801962,1111362
2020-01-10 3:00:00,EU,3136415,804993,326307
2020-01-10 3:00:00,US,3237598,805521,1029939
2020-01-10 4:00:00,EU,3034934,749595,282321
2020-01-10 4:00:00,US,2798439,683433,878448
2020-01-10 5:00:00,EU,3870587,958600,385496
2020-01-10 5:00:00,US,2890509,645123,769012
2020-01-10 6:00:00,EU,3641915,925034,379484
2020-01-10 6:00:00,US,2824538,585447,566274
2020-01-10 7:00:00,EU,4525859,1147050,469176
2020-01-10 7:00:00,US,2636009,506237,461817
2020-01-10 8:00:00,EU,4512364,1210433,490270
2020-01-10 8:00:00,US,3920978,453584,363114
2020-01-10 9:00:00,EU,4803825,1254676,528650
2020-01-10 9:00:00,US,2577134,419973,333805
2020-01-10 10:00:00,EU,5027670,1313562,567785
2020-01-10 10:00:00,US,2786495,447612,349924
2020-01-10 11:00:00,EU,6353828,526045,220659
2020-01-10 11:00:00,US,3016360,492473,415920
2020-01-10 12:00:00,US,3233295,546267,524007
